Province,Health Zone,Avg days (prior),Avg days (follow-up),Log2 ratio,Flag
Kinshasa,Binza Meteo,1.416e-03,1.097e-03,-3.680e-01,
Tanganyika,Nyemba,1.304e-03,1.054e-03,-3.070e-01,
Nord-Kivu,Pinga,3.039e-03,1.028e-03,-1.564e+00,
Haut-Uele,Rungu,8.131e-04,1.021e-03,3.280e-01,
Haut-Uele,Faradje,9.380e-04,9.828e-04,6.700e-02,
Maniema,Kalima,7.214e-04,9.774e-04,4.380e-01,
Mongala,Yamaluka,7.346e-04,8.998e-04,2.930e-01,
Kinshasa,Bandalungwa,1.423e-03,8.944e-04,-6.700e-01,
Maniema,Punia,8.354e-04,8.178e-04,-3.100e-02,
Nord-Kivu,Mweso,9.830e-04,8.016e-04,-2.940e-01,
Kinshasa,Mont Ngafula 2,1.586e-03,7.742e-04,-1.035e+00,
Kinshasa,Masina 1,9.432e-04,7.707e-04,-2.910e-01,
Tshopo,Basoko,5.379e-04,7.643e-04,5.070e-01,
Kinshasa,Mont Ngafula 1,7.214e-04,7.458e-04,4.800e-02,
Bas-Uele,Poko,9.844e-04,7.197e-04,-4.520e-01,
Nord-Kivu,Masisi,1.222e-03,6.849e-04,-8.350e-01,
Haut-Katanga,Tshamilemba,4.585e-04,6.645e-04,5.350e-01,
Sud-Kivu,Lulingu,1.614e-03,6.406e-04,-1.333e+00,
Sud-Kivu,Walungu,2.821e-04,6.343e-04,1.169e+00,
Sud-Kivu,Bunyakiri,7.032e-04,6.328e-04,-1.520e-01,
Nord-Kivu,Kibua,1.002e-03,6.300e-04,-6.700e-01,
Kinshasa,Selembao,9.078e-04,6.038e-04,-5.880e-01,
Mongala,Lisala,1.551e-04,5.874e-04,1.585e+00,
Nord-Kivu,Kirotshe,6.376e-04,5.630e-04,-1.800e-01,
Bas-Uele,Likati,4.163e-04,5.329e-04,3.560e-01,
Kinshasa,Kingabwa,7.590e-04,5.246e-04,-5.330e-01,
Haut-Uele,Niangara,9.071e-04,5.239e-04,-7.920e-01,
Sud-Kivu,Mwana,1.724e-04,4.932e-04,1.517e+00,
Kinshasa,Ngiri Ngiri,6.947e-04,4.880e-04,-5.100e-01,
Kinshasa,Matete,5.977e-04,4.852e-04,-3.010e-01,
Haut-Katanga,Kenya,3.024e-04,4.514e-04,5.780e-01,
Maniema,Alunguli,6.286e-04,4.303e-04,-5.470e-01,
Ituri,Nyarambe,2.909e-04,4.275e-04,5.560e-01,
Bas-Uele,Aketi,4.191e-04,4.022e-04,-5.900e-02,
Ituri,Laybo,5.316e-04,3.839e-04,-4.690e-01,
Kinshasa,Ndjili,5.007e-04,3.783e-04,-4.040e-01,
Sud-Kivu,Mubumbano,2.537e-04,3.755e-04,5.660e-01,
Sud-Kivu,Miti Murhesa,3.572e-04,3.741e-04,6.700e-02,
Haut-Katanga,Kampemba,2.447e-04,3.699e-04,5.960e-01,
Sud-Kivu,Mulungu,1.089e-03,3.678e-04,-1.566e+00,
Sud-Kivu,Idjwi,5.002e-04,3.671e-04,-4.460e-01,
Haut-Katanga,Kamalondo,2.531e-04,3.361e-04,4.090e-01,
Lualaba,Manika,3.708e-04,3.347e-04,-1.480e-01,
Ituri,Adi,1.266e-04,3.277e-04,1.372e+00,
Tanganyika,Kalemie,6.694e-04,3.220e-04,-1.056e+00,
Ituri,Angumu,4.219e-05,3.206e-04,1.585e+00,
Sankuru,Lodja,2.531e-04,3.122e-04,3.030e-01,
Bas-Uele,Ganga,4.022e-04,2.875e-04,-4.850e-01,
Nord-Kivu,Bambo,1.280e-04,2.728e-04,1.092e+00,
Sud-Kivu,Nyantende,2.770e-04,2.686e-04,-4.500e-02,
Tshopo,Isangi,3.572e-04,2.651e-04,-4.300e-01,
Nord-Kivu,Kibirizi,2.039e-04,2.574e-04,3.360e-01,
Kinshasa,Maluku 1,2.623e-04,2.560e-04,-3.500e-02,
Haut-Uele,Aba,1.674e-04,2.419e-04,5.310e-01,
Maniema,Kailo,3.699e-04,2.363e-04,-6.470e-01,
Sud-Ubangi,Gemena,6.118e-04,2.250e-04,-1.443e+00,
Kinshasa,Kikimi,3.516e-04,2.250e-04,-6.440e-01,
Ituri,Rethy,2.025e-04,2.250e-04,1.520e-01,
Kinshasa,Masina 2,4.022e-04,2.222e-04,-8.560e-01,
Sud-Kivu,Kalonge,2.053e-04,2.194e-04,9.600e-02,
Kinshasa,Makala,3.628e-04,2.138e-04,-7.630e-01,
Kasaï,Kanzala,9.563e-05,2.067e-04,1.112e+00,
Maniema,Kampene,2.813e-06,2.053e-04,1.585e+00,
Kinshasa,Kalamu 2,3.361e-04,2.039e-04,-7.210e-01,
Sud-Kivu,Nyangezi,8.438e-05,1.969e-04,1.222e+00,
Tshopo,Bengamisa,2.663e-04,1.927e-04,-4.670e-01,
Bas-Uele,Titule,9.141e-05,1.720e-04,9.120e-01,
Sud-Kivu,Ruzizi,4.106e-04,1.716e-04,-1.259e+00,
Tshopo,Yahisuli,7.102e-05,1.688e-04,1.249e+00,
Kongo Central,Matadi,7.594e-05,1.667e-04,1.134e+00,
Sud-Kivu,Kamituga,1.098e-04,1.603e-04,5.460e-01,
Tshopo,Ubundu,3.797e-05,1.589e-04,1.585e+00,
Kinshasa,Police,2.756e-04,1.533e-04,-8.470e-01,
Bas-Uele,Viadana,2.391e-04,1.501e-04,-6.710e-01,
Sud-Kivu,Fizi,1.652e-04,1.406e-04,-2.330e-01,
Kinshasa,Kisenso,2.939e-04,1.364e-04,-1.107e+00,
Kinshasa,Bumbu,2.398e-04,1.350e-04,-8.290e-01,
Haut-Katanga,Kipushi,1.697e-04,1.308e-04,-3.760e-01,
Haut-Katanga,Ruashi,4.500e-05,1.294e-04,1.524e+00,
Haut-Katanga,Kafubu,2.560e-04,1.216e-04,-1.073e+00,
Kinshasa,Kingasani,1.547e-04,1.195e-04,-3.720e-01,
Maniema,Kasongo,6.469e-05,1.069e-04,7.240e-01,
Haut-Uele,Boma Mangbetu,3.417e-04,1.059e-04,-1.585e+00,
Kasaï Central,Katoka,5.063e-05,1.055e-04,1.059e+00,
Kasaï,Kalonda Ouest,5.344e-05,1.041e-04,9.620e-01,
Kinshasa,Ngaba,1.786e-04,1.013e-04,-8.190e-01,
Tshopo,Opienge,2.377e-04,1.013e-04,-1.231e+00,
Maniema,Saramabila,3.122e-04,1.013e-04,-1.585e+00,
Sud-Kivu,Kaziba,3.656e-05,9.844e-05,1.429e+00,
Tshopo,Yalimbongo,8.438e-06,9.844e-05,1.585e+00,
Kasaï Central,Lukonga,5.189e-05,9.422e-05,8.610e-01,
Nord-Kivu,Itebero,2.357e-04,9.001e-05,-1.389e+00,
Nord-Ubangi,Wapinda,1.041e-04,9.001e-05,-2.090e-01,
Kwilu,Kikwit Nord,3.415e-05,8.860e-05,1.375e+00,
Equateur,Wangata,1.150e-04,8.719e-05,-4.000e-01,
Kongo Central,Nsona Mpangu,5.063e-05,8.649e-05,7.730e-01,
Sud-Kivu,Kimbi Lulenge,2.447e-04,8.559e-05,-1.516e+00,
Haut-Katanga,Kisanga,7.125e-05,8.438e-05,2.440e-01,
Haut-Katanga,Kambove,3.094e-05,8.157e-05,1.399e+00,
Kongo Central,Kisantu,5.907e-05,8.157e-05,4.660e-01,
Kongo Central,Muanda,6.188e-05,8.157e-05,3.990e-01,
Sankuru,Lomela,4.782e-05,7.875e-05,7.200e-01,
Kongo Central,Massa,6.328e-05,7.875e-05,3.160e-01,
Kasaï,Tshikapa,3.094e-05,7.875e-05,1.348e+00,
Equateur,Mbandaka,1.347e-04,7.641e-05,-8.180e-01,
Kongo Central,Mbanza Ngungu,9.001e-05,7.594e-05,-2.450e-01,
Kongo Central,Kitona,4.500e-05,7.313e-05,7.000e-01,
Sud-Kivu,Lemera,1.716e-04,7.172e-05,-1.258e+00,
Kongo Central,Kwilu Ngongo,2.813e-05,7.032e-05,1.322e+00,
Nord-Kivu,Katoyi,3.938e-05,6.891e-05,8.070e-01,
Lomami,Mweneditu,3.375e-05,6.403e-05,9.240e-01,
Tanganyika,Kongolo,6.610e-05,6.328e-05,-6.300e-02,
Lualaba,Dilala,5.625e-06,5.907e-05,1.585e+00,
Kongo Central,Kimpese,3.235e-05,5.907e-05,8.690e-01,
Tanganyika,Moba,1.350e-04,5.907e-05,-1.193e+00,
Equateur,Makanza,3.938e-05,5.813e-05,5.620e-01,
Kasaï Oriental,Bonzola,6.689e-05,5.766e-05,-2.140e-01,
Maniema,Kibombo,2.813e-06,5.625e-05,1.585e+00,
Sud-Kivu,Nundu,1.519e-04,5.625e-05,-1.433e+00,
Haut-Katanga,Sakania,5.719e-05,5.555e-05,-4.200e-02,
Kasaï Oriental,Diulu,5.063e-05,5.203e-05,4.000e-02,
Kongo Central,Gombe Matadi,2.644e-04,4.782e-05,-1.585e+00,
Kinshasa,Maluku 2,4.782e-05,4.782e-05,0.000e+00,
Kongo Central,Sona Bata,2.531e-05,4.782e-05,9.180e-01,
Tshopo,Yahuma,1.266e-04,4.711e-05,-1.426e+00,
Kongo Central,Boko Kivulu,2.813e-05,4.500e-05,6.780e-01,
Lualaba,Fungurume,4.313e-05,4.500e-05,6.100e-02,
Haut-Katanga,Panda,2.813e-05,4.500e-05,6.780e-01,
Kinshasa,Kimbanseke,6.188e-05,4.219e-05,-5.530e-01,
Kasaï Oriental,Nzaba,2.250e-05,4.125e-05,8.740e-01,
Lomami,Makota,8.438e-06,4.106e-05,1.585e+00,
Kasaï,Kamwesha,0.000e+00,4.078e-05,1.585e+00,
Kasaï Oriental,Bipemba,7.439e-05,3.938e-05,-9.180e-01,
Sankuru,Dikungu,5.625e-06,3.938e-05,1.585e+00,
Kongo Central,Boma,6.188e-05,3.656e-05,-7.590e-01,
Sud-Kivu,Kaniola,4.219e-05,3.656e-05,-2.060e-01,
Haut-Katanga,Kapolowe,3.188e-05,3.656e-05,1.980e-01,
Kasaï Oriental,Kasansa,0.000e+00,3.656e-05,1.585e+00,
Kasaï Central,Tshikaji,3.938e-05,3.656e-05,-1.070e-01,
Kongo Central,Vaku,0.000e+00,3.516e-05,1.585e+00,
Kwango,Kenge,1.969e-05,3.375e-05,7.780e-01,
Maniema,Obokote,1.969e-05,3.375e-05,7.780e-01,
Equateur,Bolenge,3.918e-06,3.094e-05,1.585e+00,
Haut-Katanga,Kikula,0.000e+00,3.094e-05,1.585e+00,
Sud-Kivu,Kitutu,5.485e-06,3.094e-05,1.585e+00,
Haut-Katanga,Likasi,1.969e-05,3.094e-05,6.520e-01,
Lualaba,Lubudi,1.406e-05,3.094e-05,1.138e+00,
Maindombe,Bolobo,1.236e-05,2.953e-05,1.257e+00,
Kasaï Central,Luiza,1.406e-05,2.953e-05,1.070e+00,
Kinshasa,Biyela,2.813e-05,2.813e-05,0.000e+00,
Kongo Central,Boma Bungu,1.125e-05,2.813e-05,1.322e+00,
Kwilu,Kikwit Sud,8.438e-06,2.813e-05,1.585e+00,
Tshuapa,Djolu,0.000e+00,2.531e-05,1.585e+00,
Mongala,Lolo,8.438e-06,2.531e-05,1.585e+00,
Kasaï,Mweka,0.000e+00,2.531e-05,1.585e+00,
Haut-Katanga,Kasenga,0.000e+00,2.391e-05,1.585e+00,
Kongo Central,Inga,8.438e-06,2.250e-05,1.415e+00,
Lualaba,Kapanga,0.000e+00,2.250e-05,1.585e+00,
Kongo Central,Nzanza,8.438e-06,2.250e-05,1.415e+00,
