Province,Health Zone,Avg days (prior),Avg days (follow-up),Log2 ratio,Flag
Kasaï Central,Luambo,0.000e+00,0.000e+00,,
Kasaï Oriental,Lubilanji,0.000e+00,0.000e+00,,
Kasaï Oriental,Lukelenge,6.563e-06,0.000e+00,-1.585e+00,
Lomami,Luputa,0.000e+00,0.000e+00,,
Sankuru,Lusambo,0.000e+00,0.000e+00,,
Maniema,Lusangi,3.094e-05,0.000e+00,-1.585e+00,
Haut-Lomami,Malemba Nkulu,2.813e-06,0.000e+00,-1.585e+00,
Tanganyika,Mbulula,6.188e-05,0.000e+00,-1.585e+00,
Kasaï Oriental,Miabi,5.625e-06,0.000e+00,-1.585e+00,
Kasaï,Mikope,0.000e+00,0.000e+00,,
Sankuru,Minga,0.000e+00,0.000e+00,,
Haut-Katanga,Mitwaba,0.000e+00,0.000e+00,,
Nord-Ubangi,Mobayi Mbongo,0.000e+00,0.000e+00,,
Kwilu,Mokala,2.813e-06,0.000e+00,-1.585e+00,
Tshuapa,Mondombe,1.041e-04,0.000e+00,-1.585e+00,
Bas-Uele,Monga,0.000e+00,0.000e+00,,
Equateur,Monieka,1.688e-05,0.000e+00,-1.585e+00,
Kasaï Central,Muetshi,0.000e+00,0.000e+00,,
Lomami,Mulumba,0.000e+00,0.000e+00,,
Kasaï,Mushenge,0.000e+00,0.000e+00,,
Maindombe,Mushie,0.000e+00,0.000e+00,,
Kasaï,Mutena,0.000e+00,0.000e+00,,
Lualaba,Mutshatsha,0.000e+00,0.000e+00,,
Kwango,Mwela Lembwa,0.000e+00,0.000e+00,,
Sud-Ubangi,Ndage,0.000e+00,0.000e+00,,
Kasaï Central,Ndesha,2.813e-06,0.000e+00,-1.585e+00,
Kongo Central,Ngidinga,0.000e+00,0.000e+00,,
Kongo Central,Nselo,0.000e+00,0.000e+00,,
Maindombe,Ntandembelo,0.000e+00,0.000e+00,,
Kasaï,Nyanga,0.000e+00,0.000e+00,,
Tshopo,Opala,1.969e-05,0.000e+00,-1.585e+00,
Maindombe,Oshwe,0.000e+00,0.000e+00,,
Sankuru,Ototo,2.813e-06,0.000e+00,-1.585e+00,
Sankuru,Pania Mutombo,0.000e+00,0.000e+00,,
Kwango,Panzi,0.000e+00,0.000e+00,,
Kwilu,Pay Kongila,0.000e+00,0.000e+00,,
Mongala,Pimu,0.000e+00,0.000e+00,,
Kwilu,Sia,0.000e+00,0.000e+00,,
Haut-Lomami,Songa,0.000e+00,0.000e+00,,
Sud-Ubangi,Tandala,0.000e+00,0.000e+00,,
Kwango,Tembo,0.000e+00,0.000e+00,,
Kongo Central,Tshela,0.000e+00,0.000e+00,,
Kasaï Central,Tshikula,5.625e-06,0.000e+00,-1.585e+00,
Kasaï Oriental,Tshilenge,0.000e+00,0.000e+00,,
Sankuru,Tshumbe,0.000e+00,0.000e+00,,
Maniema,Tunda,1.406e-05,0.000e+00,-1.585e+00,
Kwilu,Vanga,0.000e+00,0.000e+00,,
Sankuru,Vanga Kete,0.000e+00,0.000e+00,,
Kwango,Wamba Lwadi,0.000e+00,0.000e+00,,
Tshuapa,Wema,0.000e+00,0.000e+00,,
Lomami,Wikong,0.000e+00,0.000e+00,,
Kwilu,Yasa Bonga,0.000e+00,0.000e+00,,
Sud-Ubangi,Zongo,1.125e-05,0.000e+00,-1.585e+00,
Tshopo,Yakusu,,,,No data
Nord-Ubangi,Businga,,,,No data
Tshuapa,Ikela,,,,No data
Nord-Ubangi,Abuzi,,,,No data
Tshopo,Basali,,,,No data
Nord-Ubangi,Bili,,,,No data
Kasaï Central,Bilomba,,,,No data
Kasaï Central,Bobozo,,,,No data
Tshuapa,Bokungu,,,,No data
Sud-Ubangi,Bominenge,,,,No data
Mongala,Bongandanga,,,,No data
Kasaï,Bulape,,,,No data
Mongala,Bumba,,,,No data
Kasaï Central,Bunkonde,,,,No data
Haut-Lomami,Butumba,,,,No data
Kasaï Oriental,Cilundu,,,,No data
Kasaï Central,Dibaya,,,,No data
Equateur,Djombo,,,,No data
Equateur,Iboko,,,,No data
Ituri,Jiba,,,,No data
Lualaba,Kafakumba,,,,No data
Kasaï Central,Kalomba,,,,No data
Lomami,Kamiji,,,,No data
Kwilu,Kimputu,,,,No data
Kongo Central,Kimvula,,,,No data
Kasaï,Kitangwa,,,,No data
Haut-Katanga,Kowe,,,,No data
Ituri,Linga,,,,No data
Tshopo,Lowa,,,,No data
Lualaba,Lualaba,,,,No data
Lomami,Lubao,,,,No data
Kasaï Central,Lubondaie,,,,No data
Kasaï Central,Lubunga,,,,No data
Lomami,Ludimbi Lukula,,,,No data
Kongo Central,Luozi,,,,No data
Haut-Lomami,Lwamba,,,,No data
Ituri,Mangala,,,,No data
Kongo Central,Mangembo,,,,No data
Kasaï Central,Masuika,,,,No data
Sud-Ubangi,Mawuya,,,,No data
Sud-Ubangi,Mbaya,,,,No data
Maindombe,Mimia,,,,No data
Sud-Kivu,Minembwe,,,,No data
Kwilu,Moanza,,,,No data
Tshuapa,Mompono,,,,No data
Kasaï Oriental,Mpokolo,,,,No data
Haut-Katanga,Mufunga Sampwe,,,,No data
Kasaï Oriental,Mukumbi,,,,No data
Kwilu,Mungindu,,,,No data
Kasaï Central,Mutoto,,,,No data
Sud-Kivu,Mwenga,,,,No data
Lomami,NGandajika,,,,No data
Kasaï Central,Ndekesha,,,,No data
Kasaï,Ndjoko Mpunda,,,,No data
Equateur,Ntondo,,,,No data
Sankuru,Omendjadi,,,,No data
Maindombe,Pendjwa,,,,No data
Nord-Kivu,Rwanguba,,,,No data
Kasaï Central,Tshibala,,,,No data
Lomami,Tshofa,,,,No data
Sankuru,Tshudi Loto,,,,No data
Nord-Kivu,Vuhovi,,,,No data
Nord-Ubangi,Wasolo,,,,No data
Tshuapa,Yalifafu,,,,No data
Mongala,Yamongili,,,,No data
Kasaï Central,Yangala,,,,No data
Nord-Kivu,Katwa,,,,Origin
Nord-Kivu,Beni,,,,Origin
Nord-Kivu,Butembo,,,,Origin
