glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
FL-2017-000202-SLE,2017-000202,23788,FL,flood,SLE,Sierra Leone,8.434,-13.224,0.0,0.0,3,2017,8,14,A,0,0,0,0,0,1,GDACS - Medium humanitarian impact in for Sierra Leone. ,GDACS
MS-2017-000109-SLE,2017-000109,20906,MS,mud slide,SLE,,8.460555,-11.779889,0.0,0.0,0,2017,8,14,A,0,0,0,0,,0,"More than 200 people were killed when a mudslide struck the outskirts of Sierra Leone's capital Freetown on 14 August, sweeping away homes.",
FL-2015-000131-SLE,2015-000131,20554,FL,flood,SLE,,7.3562993,-11.7210635,0.0,0.0,0,2015,9,5,A,0,0,0,2630,,48,"Sustained heavy downpour of rain from the 5  to the 6 September 2015 (48 hours) burst river banks and caused destruction in eight communities in Bo and two in one Chiefdom in Pujehun District in southern Sierra Leone. The overall population in the three chiefdoms in Bo District is 8,695 of which 2,630 were directly affected losing properties and being exposed to rain with no appropriate sanitation and some evacuating and taking shelter in nearby schools. The number of people affected by the floods in Bo District is 2,630 in 239 household heads with 463 males 614 females, 645 boys, 607 girls and 301 children under five years. A total of 339 houses are reported destroyed. Pujehun District has 272 persons affected by floods with 41 household heads affected losing 16 houses",IFRC
EP-2014-000039-SLE,2014-000039,20182,EP,epidemic,SLE,,8.460555,-11.779889,0.0,0.0,0,2014,4,5,A,0,0,0,0,,0,On the 21st of March the Government of Guinea confirmed a suspected Viral Haemorrhagic fever outbreak that had been developing since early February as Ebola. Lab tests now confirm 6 suspected cases of Ebola and outbreak response activities are being ramped up significantly. Figures of case loads and effected areas are still being defined but current government figures are as high as 80 cases and 60 deaths with more cases expected.. The epicentre seems to be a small rural town called Gueckedou in southern Guinea. Gueckedou is extremely close to both the Sierra Leone and Liberian boarders and communities in all three countries are at risk.,
FR-2013-000003-SLE,2013-000003,19946,FR,fire,SLE,Bonthe and Dandabu districts,8.460555,-11.779889,0.0,0.0,0,2013,1,11,A,0,0,0,1500,,0,"Sierra Leone is experiencing the Harmatten wind, (December to March) which is a dry dusty wind blowing across the Sahara desert right through costal West African countries, causing bush fires which leads to the burning of huge farmlands, villages and other environmental entities.

Bompilia village in Bonthe district and Dandabu village in Pujehun district lost all 45 houses in the two communities excluding a mosque and 10 fishing bands. Other subsistence resources like fishing nets and accessories were all burnt. This has rendered the residents in the two communities homeless and deprived of basic leaving standards.
",IFRC
EP-2012-000041-SLE,2012-000041,19759,EP,epidemic,SLE,,8.460555,-11.779889,0.0,0.0,0,2012,3,8,A,34,0,0,2137,,10,"The Ministry of Health and Sanitation has officially declared the cholera outbreak in 3 branches/districts in the country on the 8th March 2012.No one knows exactly how it started, but health authorities believe  that it may have  started in Kambia one of the affected branches which shares boundary with Guinea. And  because of the high mobility of people from one community to another as a result of funerals, trade, and other personal and commercial activities, the disease has spread quickly to other districts/branches, it is envisaged that the epidemics will  continue to spread very fast if urgent and appropriate action is not taken to address the unfolding situation. Already other branches/ districts aside from the 3 districts mentioned above are also reporting severe cases of watery diarrhoea .As at March 9th 2012, the total numbers of cases reported from the 3 cholera-declared districts of Port Loko and Kambia in the North and Pujehun in the South are 2,137 with 34 fatalities.",IFRC
FL-2009-000180-SLE,2009-000180,18882,FL,flood,SLE,,8.460555,-11.779889,0.0,0.0,0,2009,9,6,A,0,0,0,0,,0,"Due to the rainy season and recent floods, Sierra Leone has experienced significant flooding. 15 people were died and 425 displaced in Freetown, 6 villages in the Kambia District lost all their crops.","IFRC, OCHA sitrep, AlertNet"
FL-2007-000177-SLE,2007-000177,18013,FL,flood,SLE,,8.460555,-11.779889,0.0,0.0,0,2007,9,20,A,0,0,0,0,,0,"According to OCHA spokesperson, in West Africa, some 609,000 persons had been affected by flooding in Burkina Faso, C?te d'Ivoire, Gambia, Ghana, Liberia, Mali, Mauritania, Niger, Nigeria, Senegal, Sierra Leone and Togo.",OCHA Sitrep
FL-2005-000139-SLE,2005-000139,17183,FL,flood,SLE,,8.460555,-11.779889,0.0,0.0,0,2005,8,20,A,0,0,0,0,,0,"Pujehun district of Sierra Leone experienced heavy torrential rains on 15 August 2005 leading to flooding in Jorma Jargor and Jormah Jaihun, Sowa chiefdom. Over 300 inhabitants have been rendered homeless after about
50 houses were destroyed. The situation worsened in 24 hours time as floods continued to wreck havoc within
Pujehun District. Latest information from the area, as at 1730hrs local time on 16 July 2005, indicates the
following:
? In close proximity of Pujehun town, most areas are inaccessible due to damaged or flooded roadsincluding
Gobaru highway, Massahun Kpaka highway and Dadabu highway.
? Over 1,500 people are homeless in Pujehun town alone and some villages are still inaccessible. It is
estimated that over 15,000 people have been rendered homeless and deprived of clean drinking water and
sanitation facilities.
? Over 37 villages are affected. They include: Taninahun, Sawula, Karrlu, Gbondapie, Dadabu, Yiekador,
Gibina, Suawo, Jorma Jargoh, Jorma Jaihun, Gobaru, Geoma- an area within Pujehun town.
? Over 104 houses are completely destroyed, with some partially submerged.
? One person has been killed in the floods. No injuries have been reported so far.
? Several acres of farmland have been destroyed. Assessment is yet to be conducted.",IFRC Information Bulletin No. 1
EP-2001-000720-SLE,2001-000720,11162,EP,epidemic,SLE,"Krubola, Fakunia (Koinadugu district)",8.460555,-11.779889,0.0,0.0,0,2001,12,13,A,12,0,0,3, vaccinated,0, {Meningococcal disease} (Meningitis),
EP-2000-000369-SLE,2000-000369,11164,EP,epidemic,SLE,"Bajaila, Pujehun",8.460555,-11.779889,0.0,0.0,0,2000,6,0,A,38,0,0,0, vaccinated,0, {Acute diarrhoeal syndrome} (Diarrhoeal/Enteric),
AC-2000-000148-SLE,2000-000148,11163,AC,tech. disaster,SLE,Koidu,8.460366,-10.787517,0.0,0.0,0,2000,3,5,A,150,0,0,0, ,0, {Diamond mine} (Ind:Collapse),
