glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
FL-2008-000126-TCD,2008-000126,18530,FL,flood,TCD,N'djamena,12.104797,15.044506,0.0,0.0,0,2008,8,8,A,0,0,0,0,,0,"Torrential rain in the Chadian capital N'djamena has caused serious flooding that has cut off parts of the suburbs from the city centre.
Collapsed houses, flooded streets and deep pools of stagnant water are visible throughout the low-rise, desert capital. Immediate figures on the number of people affected were not available from the government.
Ngarmbatina Carmelle Sou IV, the Minister for Social and Family Affairs, said the government would do its utmost for the people affected. ""What I have seen is disturbing to me,"" the minister said. ""It is within our mandate to give support. We must get to work to offer assistance to our brothers and sisters.""
",IRIN
FL-2007-000151-TCD,2007-000151,17873,FL,flood,TCD,"South west region of Mayo Kebbi, Tandjile region in the south, Salamat in the east, Lac in the west, and Hadjer Lamis in the north central region",15.454166,18.732207,0.0,0.0,0,2007,9,4,A,0,0,0,0,,0,"As officials in remote regions throughout Chad report worsening flood damage, Chad's government has pledged to provide US$600,000 to cover initial shelter, food and medicine needs.",IRIN
FL-2006-000139-TCD,2006-000139,17437,FL,flood,TCD,Various areas ,15.454166,18.732207,0.0,0.0,0,2006,9,6,A,52,0,5315,0,,0,"Unusually heavy rains fell in many regions in Chad in recent weeks, resulting in floods in the capital city
(N?Djamena) and in various areas of the country. Reports indicated some 52 people died, and there was extensive damage to infrastructure, including houses and social service structures. The most affected places are N?Djamena,Sahr, Doba, B?bidja, Gor?, Pala and Koumra. Tens of thousands of people were displaced, and many others were scattered in unhealthy muddy grounds with significant risks of epidemic outbreak.
Acting on several alert messages from the affected areas, the Chadian government instructed urgent action from the National Committee of Flood Management (CONASI) to assess the extent of damage and subsequent needs of the effected population. The Committee members which include technical WatSan experts and senior officials from the Ministries of Interior and Territorial Administration; Social Affairs, Public Health, and other sensitive sectors with civil protection mandates, have been deployed to visit various scenes of the disaster in N?Djamena. Similar
instructions were given to the regional and local authorities to conduct rapid assessments upon which the
government and its partner humanitarian organisations could build plans to access the victims with adequate quality assistance.
Official statistics (as of 6 September) reflected the following:
? In B?bidja, 15 days of heavy rains with a recorded water level of 346 mm rendered 1,063 families homeless
(average size five persons) homeless. 1,706 houses; 217 sanitation facilities (bathrooms and toilets)
destroyed; 18 water wells; and 626 walls/and house fences were destroyed or collapsed.
? In Doba: 1,187 houses and 44 walls collapsed, 365 hectares of agricultural land were inundated; many
livestock losses were reported; 135 bags of cereals and 30 bags of cement were spoiled by the waters.
? In Koumra: 839 houses were destroyed, and many walls and fences collapsed (including the walls of the
city mosque and those of the local prison).
In addition to these, more than 145 mm of rain fall was registered on 17 August in the area of Kanem Matchouna, with an extensive impact on those living in the area. Government authorities at the regional and local levels are conducting further assessments to transmit details on damage and needs in other areas affected by the floods.",IFRC DREF bulletin MDRTD002
FL-2001-000521-TCD,2001-000521,11227,FL,flood,TCD,"Western Tandjil?, Western Logone, Eastern Logone, Salamat, Eastern Tandjile, Mayo Boneye, Mandoul",15.454166,18.732207,0.0,0.0,0,2001,9,0,A,100,0,0,175763, km?,0, (Flood),
EP-2001-000370-TCD,2001-000370,11228,EP,epidemic,TCD,"Amr?gueb?, Ridina, Diguel, Ab?na, Chagoua, Farcha, Walia (Ndjamena district), Massakory, Bongor, Mondou, Bousso, L?r?, Mao, Bol, Mousson, Mandelao, Guitt? districts",15.454166,18.732207,0.0,0.0,0,2001,6,25,A,113,0,0,3444, vaccinated,0, {Cholera} (Diarrhoeal/Enteric),
DR-2001-000219-TCD,2001-000219,11225,DR,drought,TCD,"Gu?ra, Biltine, Ouadda?, Assoungha, Batha-Est, Batha-ouest provinces;",15.454166,18.732207,0.0,0.0,0,2001,4,0,A,0,0,0,143459, km?,0, (Drought),
AC-2001-000160-TCD,2001-000160,11226,AC,tech. disaster,TCD,Near N'Djamena,12.104797,15.044506,0.0,0.0,0,2001,4,12,A,29,22,0,0, ,0, (Road),
EP-2000-000876-TCD,2000-000876,11229,EP,epidemic,TCD,"Logone Occidental, Moyen-Chari, Logone Oriental, Gu?ra, Tandjile, Mayokebbi prefecture",15.454166,18.732207,0.0,0.0,0,2000,12,25,A,607,0,0,5173, vaccinated,0, {Meningococcal disease} (Meningitis),
EP-2000-000131-TCD,2000-000131,11230,EP,epidemic,TCD,"Logone Occidental, Logone Oriental, Moyen Chari, Mayo-Kebi",15.454166,18.732207,0.0,0.0,0,2000,1,0,A,602,0,0,4500, vaccinated,0, (Meningitis),
FL-1999-000265-TCD,1999-000265,18313,FL,flood,TCD,"Batha, Biltine, Chari-Baguirmi, Guera, Kanem, Lac, Mayo-Kebbi, Moyen-Char, Ati",13.2166667,18.3333333,0.0,0.0,0,1999,7,0,A,0,0,45000,128506,,0,,CRED EM-DAT
