glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
IN-2020-000223-ZMB,2020-000223,22083,IN,insect infestation,ZMB,,-14.4346802152973,26.40625,0.0,0.0,0,2020,9,1,A,0,0,0,0,,0,"In Zambia the outbreak of the African Migratory Locusts affects parts of Central, Southern and Western Provinces. Affected districts include Shibuyunji, Mumbwa, Itezhi-tezhi, Kazungula, Namwala, Sesheke, Nalolo, Mongu, Mwandi, Kalabo, Senanga and Sioma. The invasion has become very serious in Sesheke, Mwandi and Sioma in Western and Kazungula in Southern Provinces. The outbreak of the locusts has the potential to disrupt the 2020/2021 agricultural season that is due to start in October/November and thereby affect household and national food security.",
EP-2020-000012-ZMB,2020-000012,21872,EP,epidemic,ZMB,,-13.133897,27.849332,0.0,0.0,0,2020,3,1,A,3743,259677,0,25,,120,"Coronavirus disease (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus. It originated in Wuhan, China, at the end of 2019, and spread rapidly over the world.  Coronaviruses are a large family of viruses with some causing less-severe disease, such as the common cold, and others more severe like COVID-19. Coronavirus has impacted also Zambia, where authorities have reported as of December 31, 2021 more than 259677 total cases, with over 3743 deaths. ","WHO, Woldometers, MoHealth"
FL-2020-000007-ZMB,2020-000007,21674,FL,flood,ZMB,,0.0,0.0,0.0,0.0,0,2020,1,16,A,0,0,0,0,,0,"Heavy rainfall has driven flash and riverine flooding
in Zambia, including in areas previously impacted by
severe drought. Gwembe and Siavonga districts in the south are amongst the hardest-hit by the recent rains, while Mambwe and Lumezi districts in the east, as well as the country's capital, Lusaka, faced flash floods earlier in January. Zambia is expected to experience heavy rains in the
coming days, with potential for flash floods in
Mufumbwe, Kasempa, Kabwe, Lusaka, Siavonga,
Gwembe and Chipata districts.",OCHA
OT-2019-000132-ZMB,2019-000132,21616,OT,other,ZMB,,0.0,0.0,0.0,0.0,0,2019,10,21,A,0,0,0,0,,0,"The 2018/2019 rain season was characterized by low rainfall and prolonged dry spells which negatively affected the agriculture sector, particularly crop and livestock production. The government of Zambia through the ZVAC undertook an assessment of the impact of the drought situation on different sectors during the month of May 2019. The food security situation is estimated to likely deteriorate during the lean season. The official report highlights that 1.7 million people are currently food insecure and this figure is projected to increase to 2.3 million between October 2019 and the end of the current consumption period, March 2020.",IFRC
EP-2017-000178-ZMB,2017-000178,20997,EP,epidemic,ZMB,,-13.133897,27.849332,0.0,0.0,0,2017,10,4,A,0,0,0,0,,0,"On 6 October 2017, the Minister of Health declared an outbreak of cholera in the Zambian capital, Lusaka. From 28 September through 7 December 2017, 547 cases including 15 deaths (case fatality rate = 1.8%), have been reported since the beginning of the outbreak. The initial outbreak period was from 28 September through 20 October. From 21 October through 4 November 2017 there were less than five cases reported each week. However, from 5 November 2017 an increase in the number of cases was observed with a total of 136 cases reported in the week beginning 26 November.",WHO
OT-2017-000135-ZMB,2017-000135,20933,OT,other,ZMB,"kaputa, zambia",-8.4765613,29.6586083,0.0,0.0,0,2017,9,18,A,0,0,0,0,,0,"On 30th August 2017, Zambia recorded over 600 asylum seekers, making this the largest single entry in three years. Zambia continues to witness new arrivals of an average of 50 people per day. Based on the Zambia: Population Movement UNHCR/Partner contingency plan, it is envisaged that more than 40,000 DRC nationals will arrive in Zambia in the worst-case scenario, by March 2018. ",
IN-2017-000019-ZMB,2017-000019,20806,IN,insect infestation,ZMB,Southern Africa,-16.0458134537522,26.71875,0.0,0.0,0,2017,1,9,A,0,0,0,0,,0,"A major fall armyworm infestation has affected at least seven countries in the region. Zambia has reported that almost 90,000 hectares of maize have been affected, forcing farmers to replant their crops. In Malawi some 17,000 hectares have so far been affected while in Namibia, approximately 50,000 hectares of maize and millet has been damaged and in Zimbabwe up to 130,000 hectares could be affected thus far.",FAO
EP-2016-000029-ZMB,2016-000029,20663,EP,epidemic,ZMB,,-14.2643830875626,26.23046875,0.0,0.0,0,2016,4,1,A,0,0,0,0,,0,"Since 5 February, 567 cumulative cases of cholera have been reported in Zambia; 481 in Lusaka City and 1 in Rufunsa district in Lusaka Province; 23 in Chibombo in Central province, 61 in Nsama in Northern Province and 1 in Ndola in Copperbelt Province. One hundred and fifty six (156) of these cases have been laboratory confirmed as cholera.",UNICEF
FL-2013-000023-ZMB,2013-000023,19967,FL,flood,ZMB,,-13.133897,27.849332,0.0,0.0,0,2013,1,17,A,0,0,0,8000,,0,"Since 17 January 2013, Zambia has experienced flooding due to heavy rainfall, which has affected the most parts of the country, with Mumbwa district in the Central province being the worst affected. The district has been experiencing above average rainfall, and reports for the past two years show that the water table has risen as a result of this. ",IFRC
FL-2010-000038-ZMB,2010-000038,19029,FL,flood,ZMB,,-13.133897,27.849332,0.0,0.0,0,2010,3,2,A,8,0,200,1125,,0,11 districts have been affected by floods in the country. The districts are in North Western and Lusaka provinces.,IFRC
